id,text,category,true_label,predicted_label,top_emotion,top_emotion_score
1,"No quiero seguir viviendo así, ya no puedo más.",Bloque 1 - Ideación suicida explícita,1,1,disapproval,0.722
2,Solo quiero desaparecer y que todo termine.,Bloque 1 - Ideación suicida explícita,1,0,desire,0.695
3,Llevo días pensando en quitarme la vida.,Bloque 1 - Ideación suicida explícita,1,0,neutral,0.841
4,Esta noche voy a acabar con todo de una vez.,Bloque 1 - Ideación suicida explícita,1,0,neutral,0.327
5,"Todo sería mejor si yo no existiera, de verdad.",Bloque 2 - Desesperanza,1,0,optimism,0.444
6,"No hay salida posible para mí, esto no tiene solución.",Bloque 2 - Desesperanza,1,1,disapproval,0.745
7,"Sé que nunca voy a mejorar, para mí ya todo está acabado.",Bloque 2 - Desesperanza,1,0,disappointment,0.349
8,"Ya no me queda nada para seguir, lo he perdido todo.",Bloque 2 - Desesperanza,1,0,sadness,0.447
9,"Ya no aguanto más esta situación, de verdad que no puedo más.",Bloque 3 - Agotamiento vital,1,0,disappointment,0.207
10,"Estoy harta de luchar, no tengo fuerzas para seguir.",Bloque 3 - Agotamiento vital,1,0,disappointment,0.332
11,"No puedo seguir así, ya no quiero continuar adelante.",Bloque 3 - Agotamiento vital,1,1,disapproval,0.784
12,Qué sentido tiene seguir si nada va a cambiar nunca.,Bloque 4 - Cuestionamiento del sentido vital,1,0,neutral,0.316
13,"Para qué sigo, si total a nadie le importaría que dejara de estar.",Bloque 4 / 5 - Sentido vital y carga,1,0,neutral,0.469
14,Ya no tiene ningún sentido para mí seguir intentándolo.,Bloque 4 - Cuestionamiento del sentido vital,1,0,disapproval,0.404
15,Sé que soy una carga para mi familia y para todos.,Bloque 5 - Autopercepción como carga,1,0,neutral,0.718
16,Estoy convencido de que el mundo estaría mejor sin mí.,Bloque 5 - Autopercepción como carga,1,0,neutral,0.455
17,"Creo que ya no merezco seguir aquí, después de todo lo que he hecho.",Bloque 5 - Autopercepción como carga,1,0,disapproval,0.501
18,Solo quería decirte que no voy a estar aquí mañana.,Bloque 6 - Despedidas implícitas,1,0,neutral,0.678
19,"Cuídate mucho cuando ya no esté, te he querido mucho.",Bloque 6 - Despedidas implícitas,1,0,desire,0.459
20,Quería aprovechar para deciros adiós antes de que sea tarde.,Bloque 6 - Despedidas implícitas,1,0,neutral,0.813
21,"Me rindo, ya no me quedan ganas de seguir intentándolo.",Bloque 7 - Rendición,1,0,neutral,0.47
22,"Esta noche quiero hacerme daño, no sé cómo aguantar esto.",Bloque 8 - Autolesión,1,0,desire,0.594
23,"Ya sé cómo terminar con todo, lo tengo decidido desde hace días.",Bloque 9 - Planificación,1,0,approval,0.401
24,"No me veo en el futuro, siento que no hay mañana para mí.",Bloque 10 - Negación del futuro,1,0,sadness,0.268
25,Llevo semanas planeando cómo desaparecer de la vida de todos sin hacer ruido.,Eufemismo / lenguaje indirecto,1,0,neutral,0.812
26,"He estado ordenando mis cosas y dejando todo listo, por si acaso ya no estoy.",Eufemismo / despedida indirecta,1,0,neutral,0.758
27,A veces pienso que sería un alivio para todos que yo simplemente dejara de existir.,Eufemismo / carga + ideación,1,0,neutral,0.741
28,"Estoy harta de respirar, ojalá pudiera simplemente apagarme como una luz.",Eufemismo / ideación pasiva,1,0,desire,0.7
29,He escrito una carta para mi familia explicando por qué he decidido irme para siempre.,Eufemismo / planificación encubierta,1,0,neutral,0.739
30,"Si dejara de aparecer un día, nadie lo notaría demasiado, así que da igual lo que haga.",Eufemismo / desesperanza + carga,1,0,neutral,0.718
31,"Hoy ha sido un día horrible, he discutido con mi pareja y estoy fatal.",Negativo no crítico - relaciones,0,0,fear,0.44
32,"Estoy muy estresada con los exámenes, no sé si voy a llegar a tiempo.",Negativo no crítico - estudios,0,0,confusion,0.759
33,"Me siento agotada después de la semana de trabajo, necesito descansar.",Negativo no crítico - cansancio,0,0,sadness,0.482
34,Estoy enfadado porque he perdido el autobús y voy a llegar tarde otra vez.,Negativo no crítico - enfado cotidiano,0,0,sadness,0.36
35,"Tengo miedo de la entrevista de trabajo de mañana, estoy muy nerviosa.",Negativo no crítico - ansiedad,0,0,fear,0.786
36,Me siento triste porque mi mejor amigo se ha mudado de ciudad.,Negativo no crítico - tristeza,0,0,sadness,0.84
37,Odio que siempre me dejen las tareas más aburridas a mí en el trabajo.,Negativo no crítico - enfado,0,0,anger,0.691
38,Estoy frustrada porque llevo semanas sin encontrar piso y nada sale bien.,Negativo no crítico - frustración,0,0,disappointment,0.495
39,Hoy me he sentido sola todo el día y eso me ha entristecido bastante.,Negativo no crítico - soledad,0,0,sadness,0.801
40,Me da rabia que mi hermano nunca me escuche cuando le hablo.,Negativo no crítico - enfado familiar,0,0,annoyance,0.262
41,"Antes pensaba en rendirme con el proyecto, pero al final he conseguido terminarlo.",Trampa - lenguaje de riesgo en contexto pasado/resuelto,0,0,optimism,0.334
42,"Ya no aguanto este calor tan horrible, parece que no se va a ir nunca.",Trampa - 'ya no aguanto' fuera de contexto de crisis,0,0,fear,0.45
43,Estoy tan cansada que esta noche me voy a la cama sin cenar.,Trampa - cansancio literal,0,0,disappointment,0.259
44,El protagonista de la serie dice que quiere desaparecer del pueblo y empezar de cero en otra ciudad.,Trampa - contenido de ficción/tercera persona,0,0,neutral,0.871
45,"Estoy harta de hacer la compra todas las semanas, es una pérdida de tiempo.",Trampa - 'estoy harta de' contexto trivial,0,0,disappointment,0.475
46,"¡Hoy me han dado una buena noticia, estoy muy contenta!",Positivo,0,0,joy,0.712
47,¿Qué planes tienes para el fin de semana? Yo estoy pensando en ir a la playa.,Neutro,0,0,curiosity,0.724
48,"Gracias por escucharme siempre, de verdad que lo aprecio mucho.",Positivo - gratitud,0,0,gratitude,0.951
49,He empezado a ir al gimnasio y la verdad es que me siento con mucha energía.,Positivo - bienestar,0,0,neutral,0.342
50,Estoy emocionado porque este finde voy a ver a mis amigos después de mucho tiempo.,Positivo - ilusión,0,0,excitement,0.743
51,"No sé cuánto tiempo más voy a poder resistir, estoy al límite.",Bloque 3 - Agotamiento vital,1,0,confusion,0.597
52,"He dejado de comer, de ducharme, de salir... ya nada me importa.",Bloque 4 - Cuestionamiento del sentido vital,1,0,neutral,0.442
53,"Ojalá pudiera simplemente no existir, sin hacerle daño a nadie.",Bloque 1 - Ideación suicida explícita,1,1,desire,0.721
54,"Llevo meses sintiéndome invisible, como si ya no estuviera aquí.",Eufemismo / ideación pasiva,1,0,neutral,0.759
55,"He regalado mis cosas más importantes esta semana, ya no las necesito.",Eufemismo / planificación encubierta,1,0,neutral,0.446
56,Tengo ganas de dormirme y no volver a despertar nunca más.,Bloque 1 - Ideación suicida explícita,1,0,desire,0.203
57,Siento que mi familia estaría más tranquila si yo no diera tantos problemas.,Bloque 5 - Autopercepción como carga,1,0,sadness,0.363
58,"Ya he tomado la decisión, y por primera vez en meses me siento en paz.",Bloque 9 - Planificación,1,0,realization,0.471
59,No le veo el punto a seguir luchando cuando todo siempre acaba mal.,Bloque 2 - Desesperanza,1,0,disapproval,0.387
60,Me he despedido ya de las pocas personas que me importaban.,Bloque 6 - Despedidas implícitas,1,0,neutral,0.699
61,"Estoy tan cansado de existir, no de vivir, sino de existir.",Eufemismo / ideación pasiva,1,0,sadness,0.383
62,"Cada mañana que me despierto es una decepción, preferiría no haberlo hecho.",Bloque 1 - Ideación suicida explícita,1,0,disappointment,0.414
63,"He estado mirando formas de hacerlo, quiero que sea rápido y sin dolor.",Bloque 9 - Planificación,1,1,desire,0.703
64,Solo quiero que alguien me diga que está bien rendirse.,Bloque 7 - Rendición,1,1,desire,0.738
65,"Nada de lo que hago importa, y lo que es peor, yo tampoco importo.",Bloque 5 - Autopercepción como carga,1,0,disapproval,0.582
66,"He cancelado todos mis planes futuros, para qué hacer planes si no voy a estar.",Bloque 10 - Negación del futuro,1,0,neutral,0.408
67,"Le he pedido perdón a todo el mundo esta semana, quería dejarlo todo arreglado.",Eufemismo / planificación encubierta,1,0,remorse,0.449
68,"Ya no lloro, ya no siento nada, y eso me asusta más que el dolor.",Eufemismo / ideación pasiva,1,0,fear,0.671
69,"Si pudiera elegir, elegiría no haber nacido nunca.",Bloque 2 - Desesperanza,1,0,neutral,0.667
70,"Siento que estoy despidiéndome del mundo poco a poco, sin que nadie lo note.",Bloque 6 - Despedidas implícitas,1,0,disappointment,0.278
71,Estoy nervioso porque mañana tengo que hablar en público delante de toda la empresa.,Negativo no crítico - ansiedad situacional,0,0,fear,0.427
72,"Me he peleado con mi mejor amiga y todavía no nos hemos reconciliado, estoy muy triste.",Negativo no crítico - conflicto relacional,0,0,sadness,0.84
73,"No me han cogido para el trabajo que quería, estoy muy decepcionado.",Negativo no crítico - frustración laboral,0,0,disappointment,0.545
74,"Llevo tres noches sin dormir bien por el estrés, estoy destrozada.",Negativo no crítico - estrés,0,0,sadness,0.358
75,Mi jefe me ha gritado delante de todos hoy y me he sentido muy humillada.,Negativo no crítico - vergüenza laboral,0,0,sadness,0.325
76,Estoy muy preocupada porque mi madre tiene que operarse la semana que viene.,Negativo no crítico - preocupación familiar,0,0,fear,0.263
77,Me siento fatal porque he engordado mucho este año y no me reconozco.,Negativo no crítico - imagen corporal,0,0,fear,0.406
78,Hoy he llorado en el baño del trabajo porque ya no puedo más con la presión.,Negativo no crítico - estrés laboral,0,0,sadness,0.619
79,Me siento muy sola desde que rompí con mi pareja hace tres meses.,Negativo no crítico - duelo relacional,0,1,sadness,0.754
80,"Estoy agobiada con las deudas, no sé cómo voy a llegar a fin de mes.",Negativo no crítico - estrés económico,0,0,confusion,0.663
81,"En la peli que vi ayer el personaje principal decía que no quería seguir viviendo, fue muy duro de ver.",Trampa - referencia a ficción,0,0,disappointment,0.349
82,"Mi primo pasó una época muy mala y llegó a pensar en quitarse la vida, por suerte pidió ayuda.",Trampa - referencia a terceros en pasado resuelto,0,0,sadness,0.554
83,Para qué me voy a molestar en preparar la presentación si total el jefe nunca valora nada.,Trampa - 'para qué' en contexto laboral trivial,0,0,annoyance,0.299
84,"Ya no soporto más este tráfico, cada día es peor.",Trampa - 'ya no soporto' en contexto trivial,0,0,disgust,0.426
85,"Ojalá pudiera desaparecer unos días y que nadie me molestara, necesito descansar.",Trampa - 'desaparecer' como deseo de descanso,0,1,desire,0.708
86,A veces pienso que lo dejo todo y me voy a vivir al campo.,Trampa - 'dejarlo todo' como fantasía de escape,0,0,neutral,0.732
87,"Estoy harto de esta ciudad, no hay futuro aquí para nadie.",Trampa - 'no hay futuro' en contexto socioeconómico,0,0,disappointment,0.342
88,"Me rindo con esta dieta, nunca voy a conseguir adelgazar.",Trampa - 'me rindo' en contexto trivial,0,0,neutral,0.527
89,"No me veo viviendo aquí dentro de diez años, esto no es lo que quiero para mi vida.",Trampa - 'no me veo' como reflexión vital positiva,0,1,disapproval,0.751
90,"Todo está muy mal en este país, ya no hay esperanza para la siguiente generación.",Trampa - desesperanza colectiva/política,0,0,disappointment,0.424
91,"Por fin he terminado el proyecto, estoy muy orgulloso de lo que hemos conseguido.",Positivo - logro,0,0,admiration,0.843
92,"Me he apuntado a clases de pintura y me está encantando, hacía tiempo que no me sentía así.",Positivo - bienestar,0,0,love,0.762
